generation,scenario,seed,best,median,mean,arrival_ratio
106,Shuttle,11,8.06179,1.59556,1.80318,0.0539551
107,Shuttle,11,8.28543,1.6336,1.88185,0.0571289
108,Shuttle,11,7.84101,1.72015,2.01313,0.0661621
109,Shuttle,11,8.58126,1.63602,1.95193,0.0629883
110,Shuttle,11,7.50078,1.66564,1.97041,0.0598145
111,Shuttle,11,7.85904,1.66525,1.91014,0.0588379
112,Shuttle,11,8.3783,1.68,1.95006,0.0615234
113,Shuttle,11,7.99847,1.6065,1.96365,0.0595703
114,Shuttle,11,7.74503,1.59774,1.86523,0.057373
115,Shuttle,11,7.91501,1.71185,1.95616,0.0617676
116,Shuttle,11,7.95174,1.61319,1.88989,0.060791
117,Shuttle,11,7.71949,1.66417,1.97894,0.0625
118,Shuttle,11,7.68374,1.57473,1.924,0.0568848
119,Shuttle,11,7.99243,1.6836,2.00305,0.0654297
120,Shuttle,11,7.82459,1.5866,1.9398,0.0603027
121,Shuttle,11,8.44896,1.51083,1.8626,0.0568848
122,Shuttle,11,8.2197,1.74428,2.10254,0.0717773
123,Shuttle,11,7.89252,1.71425,2.14485,0.0695801
124,Shuttle,11,8.36445,1.68347,2.07519,0.0632324
125,Shuttle,11,8.31877,1.71288,2.2894,0.0793457
126,Shuttle,11,7.89547,1.69604,2.15888,0.0678711
127,Shuttle,11,7.97001,1.72368,2.18138,0.0739746
128,Shuttle,11,7.92406,1.77441,2.32152,0.0773926
129,Shuttle,11,7.96548,1.71696,2.20803,0.0737305
130,Shuttle,11,8.28071,1.74065,2.12757,0.0717773
131,Shuttle,11,8.15541,1.73944,2.25136,0.0786133
132,Shuttle,11,8.73649,1.72243,2.33311,0.0859375
133,Shuttle,11,8.51982,1.80505,2.24171,0.0783691
134,Shuttle,11,7.74685,1.74945,2.17467,0.0710449
135,Shuttle,11,7.9147,1.86263,2.43102,0.0869141
136,Shuttle,11,7.92703,1.82529,2.39128,0.0891113
137,Shuttle,11,8.48015,1.78455,2.4315,0.0874023
138,Shuttle,11,8.23596,1.82121,2.38159,0.0874023
139,Shuttle,11,8.18035,1.75116,2.32118,0.0893555
140,Shuttle,11,8.19282,1.77801,2.3575,0.0881348
141,Shuttle,11,8.02206,1.76726,2.36899,0.0825195
142,Shuttle,11,8.34955,1.78345,2.33799,0.0869141
143,Shuttle,11,8.03068,1.76141,2.20821,0.0791016
144,Shuttle,11,8.11646,1.78117,2.23212,0.0834961
145,Shuttle,11,7.9997,1.78206,2.26495,0.083252
146,Shuttle,11,8.18469,1.75583,2.21248,0.0817871
147,Shuttle,11,8.41779,1.72923,2.34596,0.0852051
148,Shuttle,11,8.34886,1.72489,2.22158,0.0795898
149,Shuttle,11,8.33025,1.6897,2.30023,0.0842285
150,Shuttle,11,8.02422,1.79052,2.31063,0.0852051
151,Shuttle,11,8.18986,1.79319,2.25107,0.0795898
152,Shuttle,11,7.72629,1.70968,2.21332,0.0778809
153,Shuttle,11,8.02527,1.82958,2.49077,0.0961914
154,Shuttle,11,7.99084,1.75307,2.35259,0.0883789
155,Shuttle,11,8.36099,1.81339,2.34659,0.0876465
156,Shuttle,11,7.58541,1.73681,2.21411,0.0776367
157,Shuttle,11,8.00924,1.77043,2.28719,0.0876465
158,Shuttle,11,8.1507,1.68691,2.35408,0.0888672
159,Shuttle,11,8.32224,1.87712,2.53186,0.103027
160,Shuttle,11,8.30242,1.78317,2.415,0.0915527
161,Shuttle,11,7.98854,1.7273,2.34759,0.0864258
162,Shuttle,11,8.25111,1.70552,2.2892,0.0891113
163,Shuttle,11,8.12334,1.82723,2.40366,0.0900879
164,Shuttle,11,8.25893,1.67174,2.17865,0.0810547
165,Shuttle,11,8.39752,1.80756,2.42443,0.0895996
