generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,23,2.80384,0.0749868,-0.086186,0.000244141
1,Shuttle,23,2.1396,0.173261,0.123775,0
2,Shuttle,23,1.31557,0.212996,0.131186,0
3,Shuttle,23,1.65299,0.200676,0.112373,0
4,Shuttle,23,1.76988,0.230718,0.178805,0
5,Shuttle,23,1.66576,0.215302,0.138123,0
6,Shuttle,23,1.98189,0.220418,0.16755,0
7,Shuttle,23,1.66672,0.228892,0.175213,0
8,Shuttle,23,2.72162,0.298104,0.223236,0.000244141
9,Shuttle,23,2.21577,0.36826,0.315594,0.000488281
10,Shuttle,23,2.43082,0.506561,0.438562,0.000244141
11,Shuttle,23,1.85475,0.591514,0.455772,0
12,Shuttle,23,2.52104,0.602795,0.460208,0.000488281
13,Shuttle,23,2.60312,0.640613,0.541298,0.000244141
14,Shuttle,23,2.82041,0.685246,0.587191,0.000732422
15,Shuttle,23,3.0048,0.691285,0.60636,0.000488281
16,Shuttle,23,4.46493,0.668398,0.539143,0.000732422
17,Shuttle,23,4.38127,0.653423,0.584764,0.0012207
18,Shuttle,23,3.34534,0.658171,0.569165,0.000976562
19,Shuttle,23,3.35043,0.65276,0.523305,0.0012207
20,Shuttle,23,3.2031,0.673347,0.584725,0.00170898
21,Shuttle,23,3.51371,0.725592,0.564561,0.000488281
22,Shuttle,23,3.21166,0.669663,0.567127,0.000244141
23,Shuttle,23,3.5907,0.689593,0.594359,0.000732422
24,Shuttle,23,2.7365,0.690339,0.560278,0.000488281
25,Shuttle,23,3.12493,0.669685,0.539219,0.000976562
26,Shuttle,23,3.08268,0.664345,0.520042,0.0012207
27,Shuttle,23,3.29348,0.656374,0.542375,0.00146484
28,Shuttle,23,2.89495,0.642446,0.544839,0.000976562
29,Shuttle,23,3.30878,0.646525,0.556559,0.0012207
30,Shuttle,23,3.26711,0.64069,0.583005,0.00170898
31,Shuttle,23,3.42514,0.649436,0.525041,0.000976562
32,Shuttle,23,3.02256,0.63669,0.490449,0.000244141
33,Shuttle,23,3.18012,0.610537,0.491616,0.000976562
34,Shuttle,23,3.34091,0.633659,0.508789,0.00146484
35,Shuttle,23,3.51766,0.691594,0.583182,0.00170898
36,Shuttle,23,3.0988,0.619266,0.526009,0.0012207
37,Shuttle,23,3.31479,0.684401,0.586385,0.00146484
38,Shuttle,23,2.97394,0.626897,0.530237,0.00146484
39,Shuttle,23,3.16763,0.682474,0.607239,0.00244141
40,Shuttle,23,2.99899,0.617215,0.495799,0.00146484
41,Shuttle,23,5.07782,0.667548,0.564162,0.00195312
42,Shuttle,23,2.94157,0.656663,0.513686,0.0012207
43,Shuttle,23,3.7853,0.647566,0.505284,0.00170898
44,Shuttle,23,4.6721,0.667468,0.53791,0.00195312
45,Shuttle,23,4.49891,0.657315,0.53895,0.000732422
46,Shuttle,23,3.54316,0.660226,0.527649,0.0012207
47,Shuttle,23,2.66297,0.653874,0.526832,0.000732422
48,Shuttle,23,4.64297,0.686208,0.574223,0.000976562
49,Shuttle,23,3.3423,0.689753,0.535133,0.00170898
50,Shuttle,23,4.26162,0.708482,0.636769,0.00170898
51,Shuttle,23,3.11709,0.644082,0.486614,0.00170898
52,Shuttle,23,6.04567,0.689924,0.550035,0.00292969
53,Shuttle,23,6.04069,0.654012,0.610592,0.00292969
54,Shuttle,23,3.45644,0.652667,0.526116,0.00244141
55,Shuttle,23,5.95615,0.66379,0.462552,0.00219727
56,Shuttle,23,6.04514,0.696627,0.573143,0.00317383
57,Shuttle,23,6.13997,0.703244,0.57351,0.00292969
58,Shuttle,23,4.91325,0.681407,0.571584,0.00390625
59,Shuttle,23,3.38708,0.682567,0.520272,0.00146484
60,Shuttle,23,4.73083,0.657497,0.489666,0.00268555
61,Shuttle,23,4.1891,0.65676,0.530704,0.00317383
62,Shuttle,23,3.73684,0.684648,0.544566,0.00268555
63,Shuttle,23,4.53967,0.658896,0.467781,0.00292969
64,Shuttle,23,4.55699,0.691224,0.557882,0.00292969
65,Shuttle,23,4.50953,0.665458,0.519162,0.00219727
66,Shuttle,23,4.7641,0.667044,0.544013,0.00292969
67,Shuttle,23,4.93274,0.67517,0.59289,0.00463867
68,Shuttle,23,3.64018,0.663508,0.521245,0.00195312
69,Shuttle,23,3.58875,0.671782,0.530404,0.00146484
70,Shuttle,23,6.31137,0.675805,0.53357,0.00268555
71,Shuttle,23,5.17908,0.661513,0.558566,0.00268555
72,Shuttle,23,3.56991,0.611654,0.497816,0.00170898
73,Shuttle,23,5.01797,0.622749,0.480948,0.0012207
74,Shuttle,23,6.04735,0.653265,0.543164,0.00317383
75,Shuttle,23,6.12477,0.652345,0.511439,0.00195312
76,Shuttle,23,5.96401,0.613548,0.519221,0.00195312
77,Shuttle,23,4.49126,0.652152,0.537957,0.00195312
78,Shuttle,23,6.12424,0.66538,0.592896,0.00170898
79,Shuttle,23,5.07054,0.664204,0.53691,0.00317383
80,Shuttle,23,3.65746,0.668886,0.555665,0.000976562
81,Shuttle,23,4.47266,0.67075,0.528349,0.00146484
82,Shuttle,23,4.92222,0.703979,0.602703,0.00439453
83,Shuttle,23,4.87459,0.715007,0.640754,0.00317383
84,Shuttle,23,6.08047,0.696068,0.599572,0.00292969
85,Shuttle,23,6.08598,0.690386,0.535793,0.00341797
86,Shuttle,23,6.06155,0.702583,0.585608,0.00244141
87,Shuttle,23,6.64797,0.719646,0.599306,0.00268555
88,Shuttle,23,4.32848,0.669794,0.543131,0.00341797
89,Shuttle,23,6.04052,0.683734,0.545355,0.00341797
90,Shuttle,23,4.65075,0.670542,0.525003,0.00292969
91,Shuttle,23,3.4987,0.658302,0.558746,0.00292969
92,Shuttle,23,4.62023,0.702633,0.606204,0.00170898
93,Shuttle,23,3.54765,0.687539,0.547038,0.00268555
94,Shuttle,23,3.69976,0.724962,0.58368,0.00317383
95,Shuttle,23,3.49101,0.651299,0.547812,0.00170898
96,Shuttle,23,4.7674,0.722207,0.567593,0.00170898
97,Shuttle,23,5.12287,0.704571,0.592868,0.00268555
98,Shuttle,23,4.79104,0.714778,0.632541,0.00292969
99,Shuttle,23,4.77257,0.711738,0.581562,0.00244141
100,Shuttle,23,6.08698,0.716711,0.663013,0.00415039
101,Shuttle,23,3.85203,0.748131,0.616605,0.00268555
102,Shuttle,23,4.95066,0.760724,0.689303,0.00463867
103,Shuttle,23,4.32819,0.748861,0.661957,0.00390625
104,Shuttle,23,4.74574,0.724666,0.602967,0.00317383
105,Shuttle,23,3.59731,0.718365,0.640574,0.00219727
106,Shuttle,23,4.64585,0.713654,0.627105,0.00366211
107,Shuttle,23,4.2835,0.719694,0.62179,0.00268555
108,Shuttle,23,4.93455,0.736474,0.647031,0.00268555
109,Shuttle,23,3.13161,0.718062,0.601707,0.0012207
110,Shuttle,23,3.6463,0.750888,0.677979,0.00268555
111,Shuttle,23,3.39561,0.8081,0.74569,0.00341797
112,Shuttle,23,4.32294,0.73246,0.636424,0.00268555
113,Shuttle,23,4.72624,0.742515,0.681894,0.00366211
114,Shuttle,23,5.1889,0.711458,0.58983,0.00195312
115,Shuttle,23,3.96524,0.706678,0.64274,0.00292969
116,Shuttle,23,4.90104,0.76614,0.586207,0.00292969
117,Shuttle,23,4.87776,0.710268,0.635563,0.00292969
118,Shuttle,23,4.75683,0.738591,0.691271,0.00390625
119,Shuttle,23,5.26582,0.749098,0.670323,0.00341797
120,Shuttle,23,5.12475,0.718411,0.617555,0.00268555
121,Shuttle,23,6.35328,0.709829,0.644219,0.00488281
122,Shuttle,23,4.75891,0.649844,0.57879,0.00341797
123,Shuttle,23,3.59705,0.708811,0.648802,0.00292969
124,Shuttle,23,3.38627,0.686627,0.624698,0.00195312
125,Shuttle,23,6.25553,0.714794,0.680287,0.00292969
126,Shuttle,23,4.48392,0.730074,0.65616,0.00219727
127,Shuttle,23,6.89188,0.719994,0.642324,0.00439453
128,Shuttle,23,6.37215,0.712011,0.660989,0.00341797
129,Shuttle,23,3.61715,0.730449,0.675833,0.00439453
130,Shuttle,23,5.45356,0.746937,0.684388,0.00317383
131,Shuttle,23,6.22258,0.729935,0.684943,0.00439453
132,Shuttle,23,4.94291,0.747107,0.700884,0.00341797
133,Shuttle,23,3.75239,0.699953,0.648311,0.00244141
134,Shuttle,23,4.70477,0.721019,0.676415,0.00268555
135,Shuttle,23,6.66447,0.692054,0.648333,0.00463867
136,Shuttle,23,5.10975,0.741709,0.679527,0.00390625
137,Shuttle,23,3.1666,0.747697,0.618843,0.00219727
138,Shuttle,23,6.26137,0.792324,0.716609,0.00439453
139,Shuttle,23,3.58466,0.753754,0.658098,0.00268555
140,Shuttle,23,4.70673,0.718696,0.645774,0.00390625
141,Shuttle,23,6.7364,0.715761,0.666712,0.00561523
142,Shuttle,23,6.65079,0.766695,0.705312,0.00561523
143,Shuttle,23,6.30294,0.760468,0.721627,0.0065918
144,Shuttle,23,4.84679,0.770561,0.688753,0.00537109
145,Shuttle,23,3.72276,0.734591,0.584503,0.00366211
146,Shuttle,23,5.13678,0.757481,0.646327,0.00512695
147,Shuttle,23,3.69212,0.759675,0.696571,0.00341797
148,Shuttle,23,4.03755,0.774493,0.63062,0.00219727
149,Shuttle,23,3.5105,0.757459,0.629741,0.00195312
150,Shuttle,23,4.67065,0.733633,0.58956,0.00268555
151,Shuttle,23,5.30625,0.758253,0.694878,0.00268555
152,Shuttle,23,4.78161,0.761205,0.70402,0.00366211
153,Shuttle,23,3.84333,0.725698,0.644659,0.00292969
154,Shuttle,23,5.31688,0.757715,0.690239,0.00341797
155,Shuttle,23,4.91321,0.764956,0.696612,0.00317383
156,Shuttle,23,3.6436,0.742758,0.64074,0.00292969
157,Shuttle,23,4.51808,0.741939,0.704687,0.00292969
158,Shuttle,23,3.94083,0.782472,0.714512,0.00317383
159,Shuttle,23,5.03882,0.846299,0.783309,0.00537109
160,Shuttle,23,4.47906,0.783276,0.723119,0.00537109
161,Shuttle,23,4.78338,0.813734,0.698398,0.00268555
162,Shuttle,23,4.66358,0.816497,0.725073,0.00439453
163,Shuttle,23,5.28866,0.763122,0.718693,0.00268555
164,Shuttle,23,3.68936,0.806572,0.753602,0.00439453
165,Shuttle,23,4.76163,0.815021,0.792145,0.00537109
166,Shuttle,23,6.20945,0.791086,0.716379,0.00366211
167,Shuttle,23,6.02518,0.809954,0.77833,0.00512695
168,Shuttle,23,4.7398,0.798744,0.815704,0.00585938
169,Shuttle,23,5.44504,0.81592,0.821674,0.00488281
170,Shuttle,23,6.49154,0.837052,0.80964,0.00415039
171,Shuttle,23,6.48954,0.849337,0.765565,0.00366211
172,Shuttle,23,5.29221,0.832694,0.797246,0.00610352
173,Shuttle,23,4.8416,0.769847,0.796023,0.00537109
174,Shuttle,23,5.29578,0.828171,0.788423,0.00463867
175,Shuttle,23,4.87581,0.8125,0.78224,0.00439453
176,Shuttle,23,3.32785,0.7956,0.705205,0.00170898
177,Shuttle,23,4.93237,0.834911,0.830144,0.00463867
178,Shuttle,23,4.87894,0.880782,0.788308,0.00366211
179,Shuttle,23,5.3666,0.810429,0.789198,0.00488281
180,Shuttle,23,4.83661,0.820819,0.765014,0.00585938
181,Shuttle,23,4.44645,0.855616,0.811287,0.00366211
182,Shuttle,23,5.15388,0.817162,0.752264,0.00415039
183,Shuttle,23,4.72321,0.773677,0.777906,0.00610352
184,Shuttle,23,5.06435,0.747264,0.690516,0.00415039
185,Shuttle,23,4.70323,0.802405,0.763674,0.00463867
186,Shuttle,23,4.91249,0.835313,0.779353,0.00439453
187,Shuttle,23,5.3088,0.770119,0.713887,0.00634766
188,Shuttle,23,4.64375,0.779641,0.69813,0.00244141
189,Shuttle,23,4.34774,0.836598,0.73783,0.00366211
190,Shuttle,23,4.79583,0.779786,0.745001,0.00561523
191,Shuttle,23,4.78316,0.809913,0.730002,0.00585938
192,Shuttle,23,4.89353,0.817208,0.757081,0.00463867
193,Shuttle,23,5.17933,0.79589,0.769037,0.00561523
194,Shuttle,23,5.64772,0.795775,0.770067,0.00488281
195,Shuttle,23,4.94653,0.897954,0.818742,0.00439453
196,Shuttle,23,5.06553,0.838282,0.798781,0.00512695
197,Shuttle,23,5.48054,0.869068,0.840756,0.00268555
198,Shuttle,23,4.89587,0.84926,0.796687,0.00415039
199,Shuttle,23,3.53056,0.785487,0.738365,0.00244141
200,Shuttle,23,4.42185,0.852155,0.774779,0.00292969
201,Shuttle,23,4.4439,0.899598,0.845661,0.00537109
202,Shuttle,23,5.10562,0.834816,0.762949,0.00366211
203,Shuttle,23,6.25286,0.798102,0.767452,0.00366211
204,Shuttle,23,4.73159,0.889842,0.792027,0.00415039
205,Shuttle,23,6.30502,0.874139,0.80968,0.00463867
206,Shuttle,23,4.84527,0.826309,0.788358,0.00463867
207,Shuttle,23,4.91483,0.860639,0.823114,0.00683594
208,Shuttle,23,5.11234,0.812848,0.762007,0.00415039
209,Shuttle,23,6.11179,0.883231,0.882657,0.00585938
210,Shuttle,23,5.20897,0.887582,0.888188,0.00561523
211,Shuttle,23,5.03168,0.84824,0.771278,0.00292969
212,Shuttle,23,3.8087,0.899812,0.877414,0.00341797
213,Shuttle,23,6.27733,0.91328,0.872651,0.00488281
214,Shuttle,23,5.29735,0.903609,0.933201,0.00732422
215,Shuttle,23,3.75162,0.961235,0.949046,0.00708008
216,Shuttle,23,5.37178,0.954839,0.975844,0.0065918
217,Shuttle,23,4.00581,0.924406,0.9427,0.00512695
218,Shuttle,23,5.39712,0.8944,0.934743,0.00488281
219,Shuttle,23,6.82156,0.918539,0.982547,0.00854492
220,Shuttle,23,4.94043,0.955212,0.989219,0.00610352
221,Shuttle,23,5.48187,1.04146,1.04269,0.00439453
222,Shuttle,23,6.51357,1.05915,1.08179,0.00830078
223,Shuttle,23,5.01602,1.0026,1.06002,0.00585938
224,Shuttle,23,5.00254,1.07225,1.07068,0.00341797
225,Shuttle,23,4.94827,1.00888,1.1097,0.00708008
226,Shuttle,23,6.24223,1.05901,1.107,0.0078125
227,Shuttle,23,5.07256,1.1213,1.09788,0.00268555
228,Shuttle,23,4.20427,1.03245,1.08951,0.00585938
229,Shuttle,23,5.30577,1.07791,1.09676,0.00561523
230,Shuttle,23,5.43328,1.08642,1.11432,0.00634766
231,Shuttle,23,5.67889,1.08828,1.13823,0.00732422
232,Shuttle,23,4.94922,1.08401,1.14024,0.00634766
233,Shuttle,23,4.85465,1.10415,1.1529,0.00952148
234,Shuttle,23,5.34847,1.13828,1.20338,0.00830078
235,Shuttle,23,5.1154,1.12863,1.18041,0.00830078
236,Shuttle,23,5.10104,1.15971,1.21055,0.00830078
237,Shuttle,23,5.04144,1.12025,1.22799,0.0114746
238,Shuttle,23,6.63965,1.07159,1.1702,0.00854492
239,Shuttle,23,5.20872,1.12825,1.23004,0.00830078
240,Shuttle,23,5.53386,1.07261,1.15717,0.00927734
241,Shuttle,23,6.66216,1.05016,1.10198,0.00708008
242,Shuttle,23,5.37917,1.14231,1.19966,0.00805664
243,Shuttle,23,5.55226,1.08268,1.17594,0.00976562
244,Shuttle,23,5.12568,1.16405,1.20857,0.0078125
245,Shuttle,23,4.81741,1.10748,1.19172,0.00854492
