generation,scenario,seed,best,median,mean,arrival_ratio
104,Shuttle,23,8.0816,1.55812,1.67735,0.0480957
105,Shuttle,23,6.56996,1.47927,1.56162,0.0458984
106,Shuttle,23,8.51403,1.40051,1.48862,0.0444336
107,Shuttle,23,8.05145,1.49558,1.65651,0.0554199
108,Shuttle,23,8.03895,1.52731,1.74657,0.0576172
109,Shuttle,23,8.51114,1.53103,1.69615,0.0561523
110,Shuttle,23,7.80462,1.49483,1.71945,0.0549316
111,Shuttle,23,8.25487,1.66679,1.85173,0.0605469
112,Shuttle,23,7.98779,1.64192,1.87454,0.0644531
113,Shuttle,23,7.65437,1.42205,1.60461,0.0458984
114,Shuttle,23,7.42771,1.51687,1.67563,0.0517578
115,Shuttle,23,7.83426,1.5741,1.761,0.0559082
116,Shuttle,23,8.25089,1.62218,1.7619,0.0549316
117,Shuttle,23,7.72089,1.56997,1.7464,0.0568848
118,Shuttle,23,7.25416,1.59419,1.82738,0.0637207
119,Shuttle,23,7.61559,1.59919,1.71514,0.059082
120,Shuttle,23,7.98489,1.64522,1.80195,0.064209
121,Shuttle,23,8.63345,1.51029,1.72662,0.0578613
122,Shuttle,23,8.02773,1.57917,1.7723,0.0610352
123,Shuttle,23,7.95818,1.54268,1.74159,0.0637207
124,Shuttle,23,8.72674,1.48052,1.59638,0.052002
125,Shuttle,23,8.11331,1.6214,1.73534,0.0588379
126,Shuttle,23,8.48548,1.44526,1.59401,0.0556641
127,Shuttle,23,8.27965,1.44937,1.55244,0.0517578
128,Shuttle,23,8.07515,1.3901,1.47733,0.0483398
129,Shuttle,23,8.24798,1.40609,1.52718,0.0544434
130,Shuttle,23,8.19159,1.4135,1.6397,0.0588379
131,Shuttle,23,8.01157,1.44967,1.69959,0.0600586
132,Shuttle,23,8.37181,1.32568,1.61648,0.0620117
133,Shuttle,23,7.93456,1.4739,1.7118,0.0600586
134,Shuttle,23,8.00795,1.45562,1.68151,0.0637207
135,Shuttle,23,7.96478,1.51366,1.81056,0.0686035
136,Shuttle,23,8.54465,1.46552,1.70294,0.065918
137,Shuttle,23,8.43931,1.39564,1.65909,0.0576172
138,Shuttle,23,8.28626,1.52871,1.7679,0.0627441
139,Shuttle,23,8.47348,1.48704,1.64892,0.0588379
140,Shuttle,23,8.23719,1.47132,1.53349,0.0515137
141,Shuttle,23,8.14647,1.56325,1.71188,0.0588379
142,Shuttle,23,7.57018,1.59778,1.73058,0.0620117
143,Shuttle,23,8.13962,1.6471,1.70957,0.0634766
144,Shuttle,23,8.61573,1.73645,1.96752,0.0751953
145,Shuttle,23,8.26507,1.60703,1.93063,0.079834
146,Shuttle,23,7.84537,1.59484,1.8173,0.0651855
147,Shuttle,23,8.45717,1.61687,1.92096,0.0739746
148,Shuttle,23,7.93765,1.53039,1.71272,0.0622559
149,Shuttle,23,8.06553,1.5105,1.78797,0.0644531
150,Shuttle,23,8.46941,1.64332,2.04893,0.0839844
151,Shuttle,23,8.62033,1.53401,1.89298,0.0725098
152,Shuttle,23,8.31721,1.62549,1.88276,0.0720215
153,Shuttle,23,8.0317,1.67529,2.06065,0.0842285
154,Shuttle,23,8.03261,1.63781,2.00085,0.0737305
155,Shuttle,23,8.05197,1.58039,1.9013,0.0734863
156,Shuttle,23,8.16206,1.56825,1.79508,0.0627441
157,Shuttle,23,7.7086,1.69053,1.92331,0.0783691
158,Shuttle,23,8.04029,1.74203,2.01787,0.0783691
159,Shuttle,23,7.99775,1.77346,2.00996,0.079834
160,Shuttle,23,7.8102,1.63501,1.8896,0.0712891
161,Shuttle,23,7.96293,1.65931,1.97061,0.0800781
162,Shuttle,23,8.27718,1.75395,2.13394,0.0839844
163,Shuttle,23,8.52252,1.72343,2.02288,0.0783691
164,Shuttle,23,8.12375,1.62562,1.87313,0.0698242
165,Shuttle,23,7.63744,1.7043,2.01813,0.0776367
166,Shuttle,23,8.49929,1.65353,2.02078,0.079834
167,Shuttle,23,8.95634,1.58909,1.86907,0.0739746
168,Shuttle,23,8.33305,1.68176,2.07042,0.0866699
169,Shuttle,23,7.96773,1.71219,2.12777,0.088623
170,Shuttle,23,8.10298,1.72578,2.14737,0.0866699
171,Shuttle,23,8.31582,1.76111,2.12696,0.0878906
172,Shuttle,23,7.83012,1.58982,1.95848,0.0761719
173,Shuttle,23,7.79638,1.78046,2.09152,0.0842285
