generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,5,1.48721,0.114329,0.0231084,0
1,Shuttle,5,3.05717,0.170485,0.0948635,0.000488281
2,Shuttle,5,2.78301,0.176571,0.10095,0.000244141
3,Shuttle,5,1.5972,0.236839,0.152263,0
4,Shuttle,5,2.79174,0.228606,0.15786,0.000244141
5,Shuttle,5,3.31482,0.253615,0.167903,0.000732422
6,Shuttle,5,2.95399,0.189367,0.1085,0.00146484
7,Shuttle,5,3.34613,0.269393,0.178923,0.000244141
8,Shuttle,5,2.77297,0.226938,0.09561,0.000488281
9,Shuttle,5,3.03643,0.21148,0.149382,0.000244141
10,Shuttle,5,4.76911,0.286633,0.230005,0.00146484
11,Shuttle,5,2.90617,0.33218,0.199164,0.000488281
12,Shuttle,5,2.75499,0.395939,0.251892,0.000732422
13,Shuttle,5,2.99482,0.437442,0.273953,0.000488281
14,Shuttle,5,4.03327,0.459706,0.311529,0.000976562
15,Shuttle,5,3.06476,0.510431,0.322117,0.0012207
16,Shuttle,5,3.30081,0.515347,0.356754,0.00170898
17,Shuttle,5,4.06245,0.496122,0.328089,0.00219727
18,Shuttle,5,3.25524,0.515982,0.370653,0.00244141
19,Shuttle,5,2.89195,0.572248,0.409702,0.000488281
20,Shuttle,5,4.79767,0.528027,0.388543,0.00195312
21,Shuttle,5,3.01404,0.559909,0.407127,0.00219727
22,Shuttle,5,3.34935,0.55218,0.366946,0.00146484
23,Shuttle,5,3.54601,0.529765,0.332505,0.00244141
24,Shuttle,5,3.17497,0.541832,0.436868,0.0012207
25,Shuttle,5,3.1175,0.544251,0.392992,0.00268555
26,Shuttle,5,4.53168,0.552596,0.375896,0.00244141
27,Shuttle,5,2.5788,0.54363,0.356531,0.000976562
28,Shuttle,5,2.4755,0.580085,0.42031,0.000732422
29,Shuttle,5,4.83194,0.529219,0.370933,0.00341797
30,Shuttle,5,4.67508,0.547067,0.412404,0.00439453
31,Shuttle,5,4.66453,0.583953,0.514145,0.00390625
32,Shuttle,5,4.98137,0.578038,0.409839,0.00341797
33,Shuttle,5,2.95685,0.609328,0.419111,0.000488281
34,Shuttle,5,4.94086,0.567776,0.437205,0.00317383
35,Shuttle,5,4.81928,0.531666,0.375733,0.00268555
36,Shuttle,5,3.11855,0.524732,0.35878,0.00317383
37,Shuttle,5,3.19473,0.583045,0.433436,0.00317383
38,Shuttle,5,3.53236,0.565883,0.440836,0.00268555
39,Shuttle,5,3.0236,0.54463,0.357712,0.00219727
40,Shuttle,5,3.35808,0.530711,0.375375,0.00195312
41,Shuttle,5,3.06189,0.576621,0.421836,0.00146484
42,Shuttle,5,4.98168,0.55987,0.444114,0.00219727
43,Shuttle,5,3.25872,0.53574,0.374812,0.00146484
44,Shuttle,5,3.27797,0.56454,0.41443,0.00170898
45,Shuttle,5,3.56401,0.55032,0.42807,0.00244141
46,Shuttle,5,3.69663,0.572336,0.415922,0.00170898
47,Shuttle,5,3.36698,0.594895,0.459644,0.00146484
48,Shuttle,5,3.34757,0.58561,0.399059,0.00146484
49,Shuttle,5,3.28576,0.551957,0.400123,0.00170898
50,Shuttle,5,3.38497,0.562745,0.37144,0.000976562
51,Shuttle,5,4.81019,0.578384,0.443483,0.00170898
52,Shuttle,5,4.77669,0.589987,0.402635,0.000976562
53,Shuttle,5,3.71503,0.522883,0.337517,0.00219727
54,Shuttle,5,3.22779,0.592568,0.426769,0.00170898
55,Shuttle,5,5.11981,0.602171,0.441929,0.00244141
56,Shuttle,5,4.95275,0.589556,0.440642,0.00341797
57,Shuttle,5,3.04905,0.572097,0.426615,0.00244141
58,Shuttle,5,3.14823,0.582046,0.49419,0.00170898
59,Shuttle,5,4.17964,0.593345,0.453872,0.00244141
60,Shuttle,5,4.74989,0.643415,0.54068,0.00415039
61,Shuttle,5,4.73265,0.632757,0.494711,0.00170898
62,Shuttle,5,3.09479,0.640886,0.495508,0.00219727
63,Shuttle,5,4.81854,0.650809,0.509597,0.00317383
64,Shuttle,5,4.61117,0.666173,0.570214,0.00268555
65,Shuttle,5,5.31134,0.647479,0.520628,0.00341797
66,Shuttle,5,4.8115,0.643798,0.554981,0.00341797
67,Shuttle,5,6.60948,0.641401,0.497668,0.00244141
68,Shuttle,5,3.12692,0.689358,0.615683,0.00219727
69,Shuttle,5,4.44966,0.640293,0.546763,0.00390625
70,Shuttle,5,4.70187,0.660712,0.575527,0.00317383
71,Shuttle,5,4.40955,0.71577,0.622704,0.00341797
72,Shuttle,5,4.78897,0.683687,0.619031,0.00170898
73,Shuttle,5,6.82826,0.691413,0.607647,0.00317383
74,Shuttle,5,5.26912,0.680701,0.589702,0.00268555
75,Shuttle,5,5.47756,0.695871,0.703387,0.00463867
76,Shuttle,5,5.69346,0.684338,0.624828,0.00610352
77,Shuttle,5,4.61314,0.687799,0.643358,0.00512695
78,Shuttle,5,5.14035,0.722887,0.600979,0.00366211
79,Shuttle,5,4.96252,0.693422,0.5708,0.00463867
80,Shuttle,5,3.50205,0.660498,0.57769,0.00366211
81,Shuttle,5,3.45659,0.670863,0.644319,0.00317383
82,Shuttle,5,4.57349,0.733086,0.599726,0.00146484
83,Shuttle,5,4.51317,0.697912,0.655636,0.00366211
84,Shuttle,5,4.80333,0.649042,0.575752,0.00366211
85,Shuttle,5,3.2373,0.703436,0.561496,0.00341797
86,Shuttle,5,3.74637,0.671918,0.577315,0.00341797
87,Shuttle,5,5.08924,0.737432,0.677715,0.00268555
88,Shuttle,5,3.39151,0.710115,0.66268,0.00317383
89,Shuttle,5,3.81856,0.716584,0.695037,0.00463867
90,Shuttle,5,4.69979,0.696306,0.67806,0.00439453
91,Shuttle,5,4.7797,0.726955,0.666482,0.00415039
