generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,5,1.45629,0.110906,-0.0566565,0
1,Shuttle,5,1.48694,0.186197,0.101535,0
2,Shuttle,5,2.43696,0.241675,0.132497,0.000244141
3,Shuttle,5,1.9663,0.194691,0.104026,0
4,Shuttle,5,2.15833,0.239694,0.0830926,0.000244141
5,Shuttle,5,2.40718,0.212012,0.123372,0.000244141
6,Shuttle,5,3.42184,0.243149,0.12474,0.000732422
7,Shuttle,5,3.48749,0.2654,0.162893,0.000732422
8,Shuttle,5,2.79438,0.347197,0.215566,0.000244141
9,Shuttle,5,3.47214,0.416717,0.29058,0.000732422
10,Shuttle,5,3.11478,0.467768,0.315764,0.00170898
11,Shuttle,5,3.36777,0.563069,0.450635,0.0012207
12,Shuttle,5,3.33806,0.57896,0.396392,0.000244141
13,Shuttle,5,3.35863,0.582629,0.433526,0.000976562
14,Shuttle,5,2.9761,0.58481,0.418603,0.000488281
15,Shuttle,5,3.79285,0.619021,0.439442,0.00170898
16,Shuttle,5,3.56993,0.571425,0.361289,0.000732422
17,Shuttle,5,3.37643,0.610735,0.43052,0.000976562
18,Shuttle,5,2.86405,0.613733,0.475513,0.000244141
19,Shuttle,5,3.53962,0.633528,0.46282,0.000732422
20,Shuttle,5,2.2486,0.606384,0.399449,0
21,Shuttle,5,3.30071,0.628692,0.444604,0.000488281
22,Shuttle,5,3.43217,0.640193,0.437822,0.000976562
23,Shuttle,5,3.15178,0.624369,0.415235,0.000732422
24,Shuttle,5,2.97498,0.655265,0.528176,0.00170898
25,Shuttle,5,3.6046,0.66385,0.472984,0.000976562
26,Shuttle,5,3.43671,0.629313,0.426297,0.00219727
27,Shuttle,5,3.3518,0.607046,0.433243,0.0012207
28,Shuttle,5,3.40402,0.652225,0.448422,0.00170898
29,Shuttle,5,3.53964,0.657603,0.483419,0.00170898
30,Shuttle,5,3.66189,0.674905,0.472652,0.000732422
31,Shuttle,5,3.10228,0.67659,0.512616,0.0012207
32,Shuttle,5,4.52564,0.667572,0.444677,0.000732422
33,Shuttle,5,3.22122,0.676645,0.5165,0.0012207
34,Shuttle,5,4.1959,0.652391,0.47611,0.00146484
35,Shuttle,5,3.28111,0.669616,0.47571,0.00146484
36,Shuttle,5,2.97575,0.700346,0.521261,0.000976562
37,Shuttle,5,4.56645,0.68035,0.532268,0.00292969
38,Shuttle,5,2.922,0.70034,0.55268,0.000976562
39,Shuttle,5,4.83533,0.712352,0.5362,0.0012207
40,Shuttle,5,3.16007,0.689902,0.510733,0.000732422
41,Shuttle,5,4.27074,0.669976,0.466479,0.000732422
42,Shuttle,5,3.65848,0.699761,0.564053,0.00146484
43,Shuttle,5,3.0453,0.661207,0.526621,0.000976562
44,Shuttle,5,4.94059,0.671417,0.561291,0.00146484
45,Shuttle,5,3.17765,0.695246,0.587746,0.0012207
46,Shuttle,5,2.92704,0.658694,0.457083,0.000244141
47,Shuttle,5,3.31975,0.684156,0.539143,0.00170898
48,Shuttle,5,4.07677,0.690087,0.529051,0.00195312
49,Shuttle,5,3.574,0.692123,0.548546,0.000976562
50,Shuttle,5,4.42596,0.633731,0.452998,0.00170898
51,Shuttle,5,3.5219,0.662493,0.479358,0.000976562
52,Shuttle,5,3.18853,0.716351,0.498948,0.000976562
53,Shuttle,5,3.23099,0.65097,0.506915,0.000488281
54,Shuttle,5,3.05097,0.686553,0.55752,0.000732422
55,Shuttle,5,4.34445,0.693634,0.522622,0.00170898
56,Shuttle,5,3.61861,0.711336,0.600774,0.00268555
57,Shuttle,5,3.37016,0.749255,0.597271,0.00146484
58,Shuttle,5,4.76157,0.769524,0.642062,0.00366211
59,Shuttle,5,3.21287,0.721646,0.604669,0.00268555
