generation,scenario,seed,best,median,mean,arrival_ratio
103,Shuttle,11,4.91828,0.79062,0.746862,0.00512695
104,Shuttle,11,4.91219,0.799238,0.793075,0.00512695
105,Shuttle,11,4.94378,0.787053,0.761003,0.00439453
106,Shuttle,11,5.07089,0.788908,0.830928,0.00561523
107,Shuttle,11,4.98624,0.827687,0.852352,0.00634766
108,Shuttle,11,4.79984,0.842455,0.805159,0.00415039
109,Shuttle,11,6.03709,0.779178,0.801081,0.00683594
110,Shuttle,11,5.26309,0.783452,0.748121,0.00537109
111,Shuttle,11,4.71877,0.788827,0.794184,0.00610352
112,Shuttle,11,6.44285,0.767267,0.752606,0.00634766
113,Shuttle,11,8.01995,0.829027,0.798774,0.00512695
114,Shuttle,11,8.02003,0.788966,0.68534,0.00512695
115,Shuttle,11,7.97513,0.825326,0.775589,0.00390625
116,Shuttle,11,7.90756,0.817731,0.67717,0.00268555
117,Shuttle,11,8.01883,0.781532,0.659246,0.00415039
118,Shuttle,11,7.9466,0.768378,0.717468,0.00439453
119,Shuttle,11,8.00934,0.781049,0.7364,0.00463867
120,Shuttle,11,8.01664,0.787402,0.714412,0.00317383
121,Shuttle,11,8.00892,0.820109,0.747684,0.00463867
122,Shuttle,11,6.28478,0.759292,0.692993,0.00415039
123,Shuttle,11,8.10937,0.790196,0.817778,0.00610352
124,Shuttle,11,6.66289,0.767998,0.72518,0.00439453
125,Shuttle,11,6.2986,0.812546,0.751765,0.00439453
126,Shuttle,11,6.29132,0.821465,0.814437,0.00415039
127,Shuttle,11,3.27528,0.831988,0.740048,0.00317383
128,Shuttle,11,4.90483,0.789933,0.748024,0.00415039
129,Shuttle,11,4.99491,0.761383,0.695835,0.00268555
130,Shuttle,11,6.53477,0.792625,0.740446,0.00463867
131,Shuttle,11,6.52945,0.80043,0.790089,0.00463867
132,Shuttle,11,5.14519,0.778417,0.753779,0.00439453
133,Shuttle,11,6.63394,0.747342,0.728737,0.00439453
134,Shuttle,11,8.0219,0.794983,0.785088,0.00537109
135,Shuttle,11,6.69875,0.814301,0.737988,0.00512695
136,Shuttle,11,6.44344,0.80879,0.794404,0.00512695
137,Shuttle,11,6.86167,0.787471,0.742443,0.00439453
138,Shuttle,11,4.53005,0.770993,0.732298,0.00341797
139,Shuttle,11,4.27502,0.777399,0.713675,0.00317383
140,Shuttle,11,4.81267,0.807214,0.741527,0.00366211
141,Shuttle,11,6.42867,0.805734,0.760469,0.00415039
142,Shuttle,11,5.21731,0.814734,0.695562,0.00292969
143,Shuttle,11,6.25028,0.80178,0.728814,0.00439453
144,Shuttle,11,6.51318,0.782254,0.742205,0.00610352
145,Shuttle,11,6.89029,0.815633,0.805548,0.00585938
146,Shuttle,11,6.49817,0.753655,0.711858,0.00317383
147,Shuttle,11,6.42376,0.807206,0.723073,0.00268555
148,Shuttle,11,5.52103,0.782171,0.71899,0.00244141
149,Shuttle,11,4.96006,0.805813,0.746551,0.00463867
150,Shuttle,11,3.40126,0.744202,0.653438,0.00292969
151,Shuttle,11,6.17503,0.782148,0.728545,0.00463867
152,Shuttle,11,6.13443,0.755205,0.787265,0.00537109
153,Shuttle,11,6.68143,0.815331,0.794193,0.00561523
154,Shuttle,11,5.11269,0.848029,0.830778,0.00390625
155,Shuttle,11,6.71401,0.811021,0.764643,0.00610352
156,Shuttle,11,4.64173,0.767314,0.660564,0.00390625
157,Shuttle,11,4.62627,0.815191,0.710468,0.00439453
158,Shuttle,11,4.82128,0.771799,0.676829,0.00317383
159,Shuttle,11,5.00721,0.74372,0.721088,0.00610352
160,Shuttle,11,5.13298,0.738178,0.627096,0.00537109
161,Shuttle,11,5.08912,0.80187,0.734351,0.00561523
162,Shuttle,11,6.13199,0.738434,0.6646,0.00537109
163,Shuttle,11,4.89221,0.787365,0.69361,0.00415039
164,Shuttle,11,6.30992,0.80224,0.771074,0.00463867
165,Shuttle,11,6.26507,0.793886,0.711843,0.00463867
166,Shuttle,11,4.97999,0.817226,0.771189,0.0078125
167,Shuttle,11,5.02409,0.780062,0.665956,0.00488281
168,Shuttle,11,5.09752,0.785454,0.698764,0.00317383
169,Shuttle,11,5.12431,0.776487,0.711343,0.00415039
170,Shuttle,11,4.77097,0.787869,0.730924,0.00244141
171,Shuttle,11,4.37925,0.773173,0.664913,0.00341797
172,Shuttle,11,4.65963,0.796856,0.742986,0.00415039
173,Shuttle,11,3.33909,0.754073,0.647313,0.00244141
174,Shuttle,11,4.47839,0.793897,0.739067,0.00463867
175,Shuttle,11,4.45993,0.748088,0.683977,0.00537109
176,Shuttle,11,3.37436,0.743088,0.67766,0.00390625
177,Shuttle,11,4.79248,0.780414,0.67531,0.00512695
178,Shuttle,11,5.3165,0.741455,0.580735,0.00244141
179,Shuttle,11,5.4526,0.786699,0.708483,0.00366211
180,Shuttle,11,6.23744,0.807617,0.808088,0.00732422
181,Shuttle,11,6.37086,0.764694,0.709431,0.00488281
182,Shuttle,11,4.87392,0.750917,0.741788,0.00512695
183,Shuttle,11,5.03031,0.745871,0.650489,0.00439453
184,Shuttle,11,4.85861,0.758321,0.65312,0.00561523
185,Shuttle,11,4.79667,0.753225,0.636646,0.00366211
186,Shuttle,11,6.43488,0.859621,0.837799,0.00756836
187,Shuttle,11,6.40904,0.740094,0.742928,0.00805664
188,Shuttle,11,6.64361,0.787268,0.81645,0.00756836
189,Shuttle,11,7.01887,0.856022,0.788416,0.00634766
190,Shuttle,11,8.14414,0.808044,0.805121,0.0078125
191,Shuttle,11,6.93167,0.804698,0.790342,0.00683594
192,Shuttle,11,6.98793,0.778743,0.798698,0.00537109
193,Shuttle,11,6.60791,0.88723,0.853376,0.00708008
194,Shuttle,11,6.52744,0.882954,0.832069,0.00732422
195,Shuttle,11,8.14833,0.854762,0.901647,0.00952148
196,Shuttle,11,4.86378,0.872401,0.857875,0.00488281
197,Shuttle,11,6.76635,0.876518,0.886994,0.00878906
198,Shuttle,11,5.0149,0.870441,0.854357,0.00561523
199,Shuttle,11,5.0145,0.885821,0.853194,0.00561523
200,Shuttle,11,6.39498,0.882251,0.869174,0.00878906
201,Shuttle,11,6.55463,0.885849,0.848636,0.00756836
202,Shuttle,11,6.26991,0.892495,0.923651,0.00512695
203,Shuttle,11,4.99385,0.827848,0.805743,0.00390625
204,Shuttle,11,6.30255,0.889636,0.905763,0.00708008
205,Shuttle,11,6.69363,0.885958,0.908572,0.00756836
206,Shuttle,11,4.87549,0.916252,0.940481,0.0078125
207,Shuttle,11,6.48427,0.887489,0.887944,0.00708008
208,Shuttle,11,6.48694,0.875446,0.865138,0.00561523
209,Shuttle,11,6.5438,0.891984,0.900794,0.00634766
210,Shuttle,11,5.28898,0.92495,0.928698,0.00756836
211,Shuttle,11,4.86758,0.868196,0.874295,0.00732422
212,Shuttle,11,7.96508,0.916803,0.941824,0.00830078
213,Shuttle,11,5.25712,0.921026,0.93371,0.00708008
214,Shuttle,11,6.45555,0.859937,0.898326,0.0090332
215,Shuttle,11,5.50787,0.958103,0.92563,0.00537109
216,Shuttle,11,4.509,0.916508,0.888842,0.00488281
217,Shuttle,11,6.9396,0.837871,0.849589,0.00756836
218,Shuttle,11,4.99553,0.820195,0.783364,0.00463867
219,Shuttle,11,6.17724,0.803265,0.824893,0.00683594
220,Shuttle,11,5.41771,0.85312,0.840062,0.0078125
221,Shuttle,11,5.19441,0.810656,0.832901,0.0090332
222,Shuttle,11,4.97488,0.870692,0.822343,0.00561523
223,Shuttle,11,5.41137,0.863694,0.856886,0.00512695
224,Shuttle,11,4.79722,0.859398,0.881099,0.00732422
225,Shuttle,11,6.79569,0.897386,0.903405,0.00756836
226,Shuttle,11,6.62217,0.872304,0.85476,0.00854492
227,Shuttle,11,5.04794,0.836026,0.837663,0.00610352
228,Shuttle,11,5.4165,0.881231,0.925318,0.0100098
229,Shuttle,11,3.674,0.870245,0.874212,0.00390625
230,Shuttle,11,5.15124,0.890669,0.94838,0.00830078
231,Shuttle,11,4.83075,0.908315,0.982836,0.00830078
232,Shuttle,11,4.90518,0.828185,0.793995,0.00439453
233,Shuttle,11,3.58728,0.849617,0.809811,0.00317383
234,Shuttle,11,5.36613,0.940437,0.893411,0.00585938
235,Shuttle,11,5.27562,0.818905,0.829981,0.00610352
236,Shuttle,11,6.75756,0.848058,0.853736,0.00610352
237,Shuttle,11,5.44845,0.899254,0.895282,0.00878906
238,Shuttle,11,4.98482,0.910301,0.910764,0.00805664
239,Shuttle,11,5.16461,0.847161,0.778613,0.00390625
240,Shuttle,11,4.85473,0.889141,0.834604,0.00561523
241,Shuttle,11,4.84865,0.842374,0.814979,0.00488281
242,Shuttle,11,6.22753,0.904797,0.859199,0.00585938
243,Shuttle,11,6.55501,0.857666,0.883394,0.0065918
244,Shuttle,11,4.34196,0.879627,0.877519,0.00805664
245,Shuttle,11,3.66018,0.869603,0.852628,0.00561523
246,Shuttle,11,4.56006,0.903175,0.860527,0.00415039
247,Shuttle,11,5.63391,0.833199,0.860206,0.00488281
248,Shuttle,11,5.30508,0.902991,0.872964,0.00585938
249,Shuttle,11,5.07888,0.865257,0.839039,0.00463867
250,Shuttle,11,6.46223,0.886457,0.906639,0.00683594
251,Shuttle,11,5.08422,0.821468,0.853041,0.00610352
252,Shuttle,11,5.30644,0.880789,0.888391,0.00439453
253,Shuttle,11,5.05237,0.846229,0.827517,0.00512695
254,Shuttle,11,5.41265,0.845096,0.91125,0.00756836
255,Shuttle,11,3.9676,0.876311,0.872044,0.00683594
256,Shuttle,11,5.23233,0.865392,0.86442,0.00585938
257,Shuttle,11,6.42612,0.903671,0.840409,0.00634766
258,Shuttle,11,6.3323,0.929974,0.915963,0.00585938
259,Shuttle,11,4.73427,0.899738,0.894344,0.00488281
260,Shuttle,11,4.93602,0.890284,0.903891,0.00585938
261,Shuttle,11,5.25133,0.898998,0.919634,0.00585938
262,Shuttle,11,5.13052,0.883609,0.919283,0.00805664
263,Shuttle,11,6.16328,0.886438,0.8753,0.00561523
264,Shuttle,11,5.07914,0.90027,0.879702,0.00610352
265,Shuttle,11,5.08622,0.914713,0.918862,0.00805664
266,Shuttle,11,4.06851,0.917223,0.94205,0.00732422
267,Shuttle,11,4.62286,0.858698,0.909187,0.00683594
268,Shuttle,11,5.62749,0.867617,0.89874,0.00683594
269,Shuttle,11,5.31733,0.933882,0.919738,0.00634766
270,Shuttle,11,5.29177,0.836565,0.843269,0.00439453
271,Shuttle,11,4.9363,0.845882,0.824412,0.00463867
272,Shuttle,11,3.43038,0.910066,0.910927,0.00537109
273,Shuttle,11,5.28013,0.887932,0.866328,0.00585938
274,Shuttle,11,5.15455,0.851697,0.796692,0.00390625
275,Shuttle,11,4.28296,0.876785,0.849912,0.00390625
276,Shuttle,11,5.63706,0.826191,0.81431,0.00488281
277,Shuttle,11,4.27191,0.902444,0.904602,0.00463867
278,Shuttle,11,4.61971,0.93368,0.942794,0.00537109
279,Shuttle,11,4.92015,0.908888,0.959664,0.00683594
280,Shuttle,11,6.54245,0.912778,0.93055,0.00683594
281,Shuttle,11,4.59431,0.927719,0.898932,0.00585938
282,Shuttle,11,3.7941,0.936052,0.901816,0.00463867
283,Shuttle,11,4.80988,0.92405,0.928078,0.00708008
284,Shuttle,11,4.92591,0.981985,0.958741,0.00561523
285,Shuttle,11,4.97031,0.954713,1.00143,0.00805664
286,Shuttle,11,6.9671,0.956115,0.997586,0.00952148
287,Shuttle,11,6.32126,0.944607,1.04799,0.0119629
288,Shuttle,11,4.97262,0.9102,0.971697,0.0109863
289,Shuttle,11,5.01987,0.909277,0.926265,0.0065918
290,Shuttle,11,6.77098,0.950618,0.926985,0.00732422
291,Shuttle,11,6.35911,0.93219,0.904859,0.00756836
292,Shuttle,11,5.402,0.941144,0.943945,0.00708008
293,Shuttle,11,4.87981,0.994045,1.0015,0.00439453
294,Shuttle,11,6.0243,0.97433,1.01282,0.00708008
295,Shuttle,11,4.78325,0.946362,0.979027,0.00683594
296,Shuttle,11,4.71806,0.975837,1.0132,0.00683594
297,Shuttle,11,5.46129,0.939319,1.01422,0.00805664
298,Shuttle,11,5.55593,0.934241,0.984172,0.0078125
299,Shuttle,11,4.44671,0.88281,0.966056,0.00683594
