generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,5,1.6561,0.0885467,-0.102081,0
1,Shuttle,5,2.65661,0.206422,0.0587571,0.000244141
2,Shuttle,5,1.58608,0.246489,0.0942783,0
3,Shuttle,5,1.96644,0.206867,0.0636235,0
4,Shuttle,5,2.79335,0.265945,0.158666,0.000488281
5,Shuttle,5,2.72869,0.252909,0.13874,0.000244141
6,Shuttle,5,2.12644,0.231752,0.0950195,0.000244141
7,Shuttle,5,1.82573,0.235599,0.0934791,0
8,Shuttle,5,2.01967,0.265403,0.130054,0
9,Shuttle,5,2.34547,0.312802,0.167508,0
10,Shuttle,5,2.19254,0.333061,0.215767,0
11,Shuttle,5,1.73006,0.291487,0.149485,0
12,Shuttle,5,1.8019,0.389616,0.250202,0
13,Shuttle,5,2.00946,0.353025,0.22859,0
14,Shuttle,5,2.1113,0.464808,0.32618,0
15,Shuttle,5,2.23369,0.54361,0.391438,0.000244141
16,Shuttle,5,3.2043,0.678608,0.494164,0.000488281
17,Shuttle,5,2.89378,0.783649,0.609223,0.000244141
18,Shuttle,5,3.14571,0.878318,0.709705,0.000732422
19,Shuttle,5,3.90082,0.863642,0.74192,0.000976562
20,Shuttle,5,3.54179,0.874466,0.717269,0.00146484
21,Shuttle,5,3.56809,0.909727,0.78918,0.0012207
22,Shuttle,5,3.29619,0.854921,0.700729,0.000488281
23,Shuttle,5,3.39816,0.892009,0.750941,0.000976562
24,Shuttle,5,4.31744,0.958587,0.845526,0.00146484
25,Shuttle,5,3.31816,0.909395,0.748634,0.0012207
26,Shuttle,5,3.36844,0.903851,0.756514,0.000732422
27,Shuttle,5,3.17246,0.94785,0.726203,0.000976562
28,Shuttle,5,3.81835,0.931086,0.812382,0.000976562
29,Shuttle,5,3.97152,0.91049,0.793398,0.00219727
30,Shuttle,5,4.79734,0.946777,0.753333,0.00195312
31,Shuttle,5,3.74287,0.956101,0.809596,0.0012207
32,Shuttle,5,5.09354,0.898959,0.740325,0.00170898
33,Shuttle,5,4.95035,0.857246,0.725689,0.00170898
34,Shuttle,5,5.08916,0.924654,0.773046,0.00146484
35,Shuttle,5,4.88018,0.90052,0.757152,0.00268555
36,Shuttle,5,3.09845,0.958856,0.786124,0.00146484
37,Shuttle,5,3.99996,0.993625,0.787053,0.00268555
38,Shuttle,5,5.30982,0.96644,0.847092,0.00292969
39,Shuttle,5,4.18029,1.0225,0.864884,0.00170898
40,Shuttle,5,3.55578,1.05976,0.858754,0.000976562
41,Shuttle,5,3.65931,0.984792,0.794846,0.000976562
42,Shuttle,5,4.8066,1.02032,0.910335,0.00415039
43,Shuttle,5,5.35654,1.0623,0.90747,0.00341797
44,Shuttle,5,5.20304,1.03193,0.840994,0.00415039
45,Shuttle,5,4.82933,1.02998,0.87737,0.00244141
46,Shuttle,5,4.22884,0.91352,0.707498,0.00195312
